id	VL_TOTAL_INVESTIMENTO_T0	RESTRICAO_INTERNA	RISCO	DS_ESTADO_CIVIL	ESCOLARIDADE	TEM_PRE_APROV_CDC	TIPO_CLIENTE	IDADE	QTDE_PRODUTOS_12M	SG_UF	CD_SEXO	VL_TOTL_REND	PERFIL	ALVO
100	4594.5	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	42	7	SP	M	560	INVESTIDOR	0
101	0	0	ALTO	SOLTEIRO	SUPERIOR	0	VIP	53	4	SP	M	822.28	TOMADOR	0
102	12.6	0	BAIXO	NÃO INFORMADO	SUPERIOR	0	ESPECIAL	79	4	SP	H	2074.7	INVESTIDOR	0
103	2845	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	69	3	SP	M	970.95	INVESTIDOR	0
104	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	46	6	SP	H	1172	TOMADOR	0
105	7245.2	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	47	5	SP	M	1491.88	INVESTIDOR	0
106	43128.6	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	47	6	SP	H	8566.7	INVESTIDOR	0
107	11444	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	40	7	SP	H	1200	INVESTIDOR	0
108	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	54	6	SP	M	16545.86	INVESTIDOR	0
109	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	46	3	SP	H	3483.84	INVESTIDOR	0
110	65010.1	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	VIP	67	5	SP	M	3810.33	INVESTIDOR	0
111	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	45	2	SP	H	1335	NEUTRO	0
112	29088.4	0	BAIXO	SOLTEIRO	POS GRADUACAO	1	VIP	48	4	SP	H	3999	INVESTIDOR	0
113	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	0	CLÁSSICO	67	0	SP	M	658.75		0
114	2302.1	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	63	11	SP	M	2652.33	TOMADOR	0
115	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	60	5	SP	H	1722	INVESTIDOR	0
116	534652.8	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	62	9	SP	M	6147.8	INVESTIDOR	0
117	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	40	4	SP	M	3399.43	INVESTIDOR	0
118	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	0	ESPECIAL	65	5	  	M	1731.02	INVESTIDOR	0
119	0	1	ALTO	DIVORCIADO	SUPERIOR	0	ESPECIAL	48	4	SP	H	3158.02	TOMADOR	0
120	6	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	53	2	SP	M	1262.4	INVESTIDOR	0
121	4838	0	BAIXO	VIUVO	ENSINO MEDIO	1	VIP	55	7	SP	M	1963.17	INVESTIDOR	0
122	0	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	0	CLÁSSICO	78	4	  	M	465	INVESTIDOR	0
123	0	1	MEDIO	SOLTEIRO	POS GRADUACAO	0	ESPECIAL	47	2	SP	H	3289		0
124	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	59	3	SP	H	0	TOMADOR	0
125	0	0	BAIXO	DIVORCIADO	SUPERIOR	0	ESPECIAL	63	9	SP	M	1236.81	TOMADOR	0
126	0	0	BAIXO	NÃO INFORMADO	SEM ESCOLARIDADE	0	CLÁSSICO	59	3	GO	M	545	INVESTIDOR	0
127	3452	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	VIP	60	3	RJ	H	5180.44	INVESTIDOR	0
128	17358.3	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	VIP	79	7	RN	H	5233.84	INVESTIDOR	0
129	0	0	BAIXO	VIUVO	ENSINO MEDIO	0	CLÁSSICO	77	5	RN	M	1001.52	TOMADOR	0
130	0	0	BAIXO	SOLTEIRO	SEM ESCOLARIDADE	1	ESPECIAL	75	3	RN	M	3353.76	INVESTIDOR	0
131	103.5	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	53	6	PE	H	9529.48	TOMADOR	0
132	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	48	7	SP	H	3833.2	INVESTIDOR	0
133	0	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	VIP	75	4	SP	H	0	INVESTIDOR	0
134	0	0	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	50	6	SP	H	1235	TOMADOR	0
135	111289	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	VIP	75	7	SP	H	4697.89	INVESTIDOR	0
136	17122.3	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	73	7	SP	M	3292	INVESTIDOR	0
137	0	1	MEDIO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	40	2	SP	H	622.35	NEUTRO	0
138	0	1	MEDIO	DIVORCIADO	SUPERIOR	0	CLÁSSICO	51	5	SP	M	531.5	INVESTIDOR	0
139	5622.5	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	VIP	61	12	SP	M	4955.79	INVESTIDOR	0
140	153713.7	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	VIP	80	6	SP	M	2742	INVESTIDOR	0
141	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	67	9	SP	M	1759	INVESTIDOR	0
142	0	0	BAIXO	VIUVO	NÃO INFORMADO	0	VIP	87	1	MG	M	384.48	INVESTIDOR	0
143	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	ESPECIAL	45	7	SP	H	2646	TOMADOR	0
144	33231.9	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	40	6	SP	H	6000	INVESTIDOR	0
145	0	0	BAIXO	DIVORCIADO	SUPERIOR	1	ESPECIAL	37	5	SP	H	3600	INVESTIDOR	0
146	0	1	MEDIO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	63	1	SP	H	1225.72	INVESTIDOR	0
